Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,4,28,1,800,705,1007,920,WN,829,N651SW,127,135,103,47,55,JAX,PHL,742,7,17,0,,0,0,0,47,0,0
2008,1,11,5,1947,1950,2032,2040,WN,60,N652SW,45,50,29,-8,-3,CRP,HOU,187,8,8,0,,0,NA,NA,NA,NA,NA
2008,4,1,2,1515,1340,1735,1443,OH,5409,N917CA,140,63,46,172,95,BGR,BOS,201,12,82,0,,0,0,95,77,0,0
2008,3,31,1,1615,1615,1730,1737,YV,2829,N926LR,75,82,56,-7,0,LGB,PHX,355,9,10,0,,0,NA,NA,NA,NA,NA
2008,3,2,7,1930,1933,2020,2028,NW,896,N8938E,50,55,28,-8,-3,DTW,CMH,155,5,17,0,,0,NA,NA,NA,NA,NA
2008,4,10,4,59,2216,239,2320,NW,439,N352NW,100,64,50,199,163,MSP,OMA,282,7,43,0,,0,0,0,36,0,163
2008,4,18,5,1600,1605,1733,1738,YV,2880,N17231,93,93,67,-5,-5,BUR,PHX,369,17,9,0,,0,NA,NA,NA,NA,NA
2008,2,10,7,1615,1555,1849,1830,AS,478,N306AS,154,155,125,19,20,SEA,PSP,987,5,24,0,,0,19,0,0,0,0
2008,4,8,2,2140,2131,2230,2214,YV,2833,N935LR,50,43,24,16,9,PHX,TUS,110,5,21,0,,0,16,0,0,0,0
2008,4,13,7,2045,2040,2302,2305,DL,934,N664DN,137,145,95,-3,5,ATL,LGA,761,14,28,0,,0,NA,NA,NA,NA,NA
2008,3,22,6,851,855,1654,1715,AA,226,N5BSAA,303,320,287,-21,-4,SAN,BOS,2588,3,13,0,,0,NA,NA,NA,NA,NA
2008,4,15,2,1930,1930,2111,2056,YV,7094,N37208,101,86,68,15,0,CLT,IAD,321,5,28,0,,0,0,0,15,0,0
2008,2,7,4,1955,1942,2236,2229,F9,780,N915FR,101,107,81,7,13,LAS,DEN,629,6,14,0,,0,NA,NA,NA,NA,NA
2008,4,16,3,2117,2122,2216,2212,NW,1763,N8929E,59,50,27,4,-5,DTW,AZO,113,8,24,0,,0,NA,NA,NA,NA,NA
2008,4,19,6,1144,1150,1304,1300,AA,1456,N416AA,80,70,42,4,-6,LAX,LAS,236,11,27,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1955,1956,2334,19,US,359,N164AW,159,203,141,-45,-1,PHX,MSP,1276,4,14,0,,0,NA,NA,NA,NA,NA
2008,4,1,2,2108,2110,2148,2155,XE,7672,N11184,100,105,82,-7,-2,SLC,GEG,546,4,14,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1716,1721,1728,1746,EV,4588,N751EV,72,85,57,-18,-5,ATL,MEM,332,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,15,2,1956,2003,2155,2130,YV,2658,N933LR,119,87,46,25,-7,ATL,CLT,227,13,60,0,,0,0,0,25,0,0
2008,4,18,5,1342,1352,1607,1610,OH,5553,N957CA,85,78,63,-3,-10,MKE,CVG,318,5,17,0,,0,NA,NA,NA,NA,NA
2008,1,30,3,1747,1750,1852,1905,WN,3677,N386SW,65,75,53,-13,-3,OAK,ONT,361,5,7,0,,0,NA,NA,NA,NA,NA
2008,4,29,2,1143,1129,1340,1330,NW,369,N525US,177,181,143,10,14,LGA,MSP,1020,5,29,0,,0,NA,NA,NA,NA,NA
2008,2,24,7,1950,1623,2219,1859,OH,5176,N784CA,149,156,137,200,207,RSW,CVG,879,1,11,0,,0,200,0,0,0,0
2008,2,13,3,1017,1020,1158,1155,DL,1871,N834MH,101,95,67,3,-3,ATL,MCO,403,5,29,0,,0,NA,NA,NA,NA,NA
2008,3,11,2,1551,1552,1846,1908,OO,6274,N908SW,115,136,93,-22,-1,ORD,HPN,738,5,17,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,843,845,1003,1016,US,1411,N105UW,80,91,61,-13,-2,DCA,CLT,331,4,15,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1756,1713,2013,1950,EV,4643,N825AS,77,97,61,23,43,BTR,ATL,449,9,7,0,,0,23,0,0,0,0
2008,2,20,3,821,806,921,905,OO,5964,N964SW,60,59,34,16,15,GRB,ORD,174,14,12,0,,0,0,0,0,0,16
2008,4,23,3,1646,1623,1736,1705,HA,189,N485HA,50,42,33,31,23,KOA,HNL,163,8,9,0,,0,8,0,0,0,23
2008,2,2,6,1425,1403,1534,1453,OO,6819,N746SK,69,50,37,41,22,DEN,HDN,142,5,27,0,,0,0,0,0,0,41
2008,4,9,3,1916,1855,2002,1945,WN,664,N445WN,46,50,33,17,21,AUS,HOU,148,6,7,0,,0,8,0,0,0,9
2008,4,25,5,650,655,806,815,MQ,3646,N830AE,76,80,58,-9,-5,SGF,DFW,364,11,7,0,,0,NA,NA,NA,NA,NA
2008,3,8,6,NA,725,NA,835,WN,26,,NA,70,NA,NA,NA,CMH,BWI,336,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,1,4,5,1506,1430,1607,1530,WN,33,N521SW,61,60,44,37,36,DAL,HOU,239,3,14,0,,0,0,0,1,0,36
2008,3,19,3,805,736,1047,1020,YV,7392,N570ML,102,104,75,27,29,ORD,MDT,594,2,25,0,,0,27,0,0,0,0
2008,3,1,6,1620,1625,1725,1725,AA,1215,N3BLAA,65,60,37,0,-5,DFW,AUS,190,8,20,0,,0,NA,NA,NA,NA,NA
2008,1,13,7,1902,1905,1957,2003,NW,1473,N784NC,55,58,33,-6,-3,CLE,DTW,95,8,14,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1208,1210,1435,1440,XE,2634,N12564,87,90,71,-5,-2,BNA,CLE,448,7,9,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,1758,1800,1913,1910,AA,831,N421AA,195,190,175,3,-2,DFW,SAN,1171,3,17,0,,0,NA,NA,NA,NA,NA
2008,4,25,5,1602,1605,1707,1705,CO,1602,N14668,65,60,31,2,-3,AUS,IAH,140,6,28,0,,0,NA,NA,NA,NA,NA
2008,1,21,1,1729,1624,2019,1936,YV,2889,N906FJ,110,132,98,43,65,PHX,AUS,872,5,7,0,,0,43,0,0,0,0
2008,1,17,4,2001,2005,2039,2042,AQ,228,N826AL,38,37,22,-3,-4,HNL,OGG,100,5,11,0,,0,NA,NA,NA,NA,NA
2008,1,17,4,1651,1625,1854,1824,US,1244,N504AU,123,119,86,30,26,CLT,BDL,644,6,31,0,,0,0,0,4,0,26
2008,3,23,7,805,820,913,925,CO,414,N23661,68,65,43,-12,-15,DFW,IAH,224,12,13,0,,0,NA,NA,NA,NA,NA
2008,3,24,1,1713,1715,2104,2105,XE,2508,N14116,171,170,153,-1,-2,IAH,PIT,1117,7,11,0,,0,NA,NA,NA,NA,NA
2008,2,22,5,800,800,1008,1017,US,1442,N526AU,68,77,54,-9,0,BNA,CLT,329,4,10,0,,0,NA,NA,NA,NA,NA
2008,4,10,4,629,610,1233,1200,WN,61,N389SW,244,230,231,33,19,LAX,MDW,1750,3,10,0,,0,19,0,14,0,0
2008,3,11,2,702,709,901,906,US,562,N657AW,299,297,270,-5,-7,MCO,PHX,1848,11,18,0,,0,NA,NA,NA,NA,NA
2008,4,30,3,1818,1835,1920,1939,OO,5712,N292UX,62,64,42,-19,-17,LAS,PSP,173,3,17,0,,0,NA,NA,NA,NA,NA
2008,2,27,3,628,620,848,842,DL,1138,N629DL,80,82,60,6,8,LAS,SLC,368,7,13,0,,0,NA,NA,NA,NA,NA
2008,1,6,7,1904,1745,2015,1910,WN,1255,N470WN,71,85,58,65,79,OAK,SAN,446,4,9,0,,0,2,0,0,0,63
2008,4,29,2,1102,1106,1212,1210,EV,4187,N936EV,130,124,105,2,-4,ATL,TUL,674,4,21,0,,0,NA,NA,NA,NA,NA
2008,4,21,1,1902,1910,2053,2100,MQ,4082,N933JN,111,110,88,-7,-8,ORD,ICT,588,4,19,0,,0,NA,NA,NA,NA,NA
2008,2,8,5,1459,1500,1751,1640,CO,1110,N14664,172,100,47,71,-1,DCA,EWR,199,10,115,0,,0,0,0,71,0,0
2008,3,6,4,1354,1358,1530,1545,AS,503,N590AS,96,107,82,-15,-4,RNO,SEA,564,7,7,0,,0,NA,NA,NA,NA,NA
2008,4,7,1,1839,1840,2122,2105,AA,1815,N545AA,223,205,189,17,-1,ORD,SLC,1249,11,23,0,,0,0,0,17,0,0
2008,3,8,6,NA,1157,NA,1300,9E,2869,,NA,63,NA,NA,NA,DTW,DAY,166,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,2,29,5,824,800,1418,1340,AA,1604,N4XUAA,234,220,215,38,24,PSP,ORD,1652,6,13,0,,0,0,0,38,0,0
2008,1,20,7,852,855,936,945,MQ,3925,N627AE,44,50,28,-9,-3,ORD,MLI,139,2,14,0,,0,NA,NA,NA,NA,NA
2008,1,9,3,823,830,949,955,MQ,3366,N633AE,86,85,70,-6,-7,DAL,MCI,461,4,12,0,,0,NA,NA,NA,NA,NA
2008,1,23,3,2024,2010,7,5,AA,681,N5CGAA,163,175,146,2,14,ORD,MIA,1197,4,13,0,,0,NA,NA,NA,NA,NA
2008,3,26,3,2044,2050,2219,2230,WN,71,N224WN,95,100,79,-11,-6,BWI,SDF,495,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,25,5,1231,1155,1341,1305,AA,327,N251AA,70,70,48,36,36,IAH,DFW,224,5,17,0,,0,0,0,0,0,36
2008,4,1,2,1408,1400,1640,1637,AS,470,N566AS,152,157,134,3,8,SEA,LAX,954,6,12,0,,0,NA,NA,NA,NA,NA
2008,4,22,2,1454,1505,1609,1640,DL,891,N3748Y,75,95,57,-31,-11,CVG,ATL,373,7,11,0,,0,NA,NA,NA,NA,NA
2008,3,28,5,854,900,1132,1125,AA,2193,N3CJAA,218,205,184,7,-6,DCA,DFW,1192,11,23,0,,0,NA,NA,NA,NA,NA
2008,3,19,3,2022,1940,2258,2220,WN,3502,N742SW,96,100,79,38,42,SAN,ABQ,628,5,12,0,,0,3,0,0,0,35
2008,1,30,3,1904,1905,1954,2005,WN,372,N324SW,50,60,37,-11,-1,ONT,LAS,197,7,6,0,,0,NA,NA,NA,NA,NA
2008,1,3,4,1204,1200,1344,1404,UA,1463,N481UA,220,244,205,-20,4,ORD,LAS,1515,4,11,0,,0,NA,NA,NA,NA,NA
2008,1,5,6,1929,1920,2149,2144,DL,547,N643DL,320,324,301,5,9,ATL,PDX,2172,6,13,0,,0,NA,NA,NA,NA,NA
2008,1,4,5,1804,1720,2029,1945,OO,2515,N417SW,85,85,63,44,44,MKE,PIT,431,6,16,0,,0,44,0,0,0,0
2008,3,9,7,1413,1415,1511,1515,AA,422,N459AA,58,60,37,-4,-2,AUS,DFW,190,11,10,0,,0,NA,NA,NA,NA,NA
2008,2,20,3,911,915,1017,1016,MQ,3055,N323AE,66,61,32,1,-4,LAX,SAN,109,7,27,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1819,1825,1926,1930,WN,2359,N732SW,67,65,52,-4,-6,LAX,SJC,308,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,31,4,653,655,1025,935,WN,16,N250WN,272,220,254,50,-2,BWI,HOU,1246,4,14,0,,0,0,0,50,0,0
2008,1,25,5,1349,1352,1533,1532,NW,1690,N772NC,104,100,70,1,-3,DTW,RDU,501,6,28,0,,0,NA,NA,NA,NA,NA
2008,3,1,6,910,920,1035,1045,OO,2673,N495CA,85,85,71,-10,-10,MKE,OMA,426,5,9,0,,0,NA,NA,NA,NA,NA
2008,3,30,7,1734,1647,1815,1731,FL,547,N981AT,101,104,84,44,47,ATL,BMI,533,6,11,0,,0,0,0,0,0,44
2008,4,25,5,1122,1125,1439,1445,AA,1726,N503AA,137,140,120,-6,-3,DFW,CMH,927,6,11,0,,0,NA,NA,NA,NA,NA
2008,2,11,1,922,920,1024,1020,EV,4717,N936EV,62,60,30,4,2,ATL,GSP,153,3,29,0,,0,NA,NA,NA,NA,NA
2008,4,24,4,1849,1850,2335,2355,WN,1073,N493WN,166,185,153,-20,-1,LAS,STL,1372,3,10,0,,0,NA,NA,NA,NA,NA
2008,2,13,3,2305,2140,23,2314,UA,898,N595UA,78,94,60,69,85,IAD,BOS,413,5,13,0,,0,0,0,0,0,69
2008,2,20,3,1931,1930,2043,2050,WN,710,N475WN,72,80,53,-7,1,OAK,LAX,337,9,10,0,,0,NA,NA,NA,NA,NA
2008,4,22,2,1942,1942,2123,2053,NW,323,N8933E,101,71,76,30,0,MEM,GPT,324,6,19,0,,0,0,0,30,0,0
2008,1,5,6,1420,1423,1639,1641,FL,370,N944AT,139,138,115,-2,-3,MCO,IND,828,9,15,0,,0,NA,NA,NA,NA,NA
2008,4,2,3,653,700,921,944,NW,1546,N9332,148,164,134,-23,-7,FNT,MCO,1011,6,8,0,,0,NA,NA,NA,NA,NA
2008,2,16,6,NA,1530,NA,1840,AA,1540,,NA,130,NA,NA,NA,TUS,DFW,813,NA,NA,1,B,0,NA,NA,NA,NA,NA
2008,3,5,3,1502,1358,1725,1632,EV,4396,N717EV,83,94,68,53,64,STL,ATL,483,6,9,0,,0,0,0,0,0,53
2008,4,4,5,1804,1745,2052,2030,AA,2293,N517AA,168,165,145,22,19,ORD,AUS,978,7,16,0,,0,0,19,3,0,0
2008,4,27,7,1326,1330,1520,1529,US,1868,N504AU,114,119,99,-9,-4,PBI,CLT,590,3,12,0,,0,NA,NA,NA,NA,NA
2008,1,14,1,1748,1800,2001,1931,DL,980,N964DL,133,91,81,30,-12,DAB,ATL,366,21,31,0,,0,0,0,30,0,0
2008,1,10,4,553,601,737,738,NW,1133,N373NW,104,97,66,-1,-8,BWI,DTW,408,24,14,0,,0,NA,NA,NA,NA,NA
2008,2,18,1,1859,1904,2012,2010,9E,2880,80319E,133,126,102,2,-5,DTW,MEM,610,10,21,0,,0,NA,NA,NA,NA,NA
2008,2,12,2,1233,1235,1501,1505,WN,1153,N497WN,88,90,63,-4,-2,LAS,ABQ,487,5,20,0,,0,NA,NA,NA,NA,NA
2008,3,13,4,1139,1140,1319,1315,AA,1885,N245AA,220,215,203,4,-1,DFW,FAT,1313,4,13,0,,0,NA,NA,NA,NA,NA
2008,3,16,7,1921,1910,2015,2004,UA,815,N374UA,114,114,98,11,11,DSM,DEN,589,6,10,0,,0,NA,NA,NA,NA,NA
2008,1,12,6,1906,1827,2038,2007,FL,171,N906AT,92,100,76,31,39,ATL,RSW,515,5,11,0,,0,0,0,0,0,31
2008,3,15,6,1659,1420,1926,1640,EV,4533,N870AS,87,80,64,166,159,MEM,ATL,332,11,12,0,,0,0,0,166,0,0
2008,3,12,3,2125,2115,2347,2345,XE,2146,N12122,142,150,117,2,10,IAH,ORD,925,6,19,0,,0,NA,NA,NA,NA,NA
2008,2,17,7,2114,2115,2319,2301,NW,399,N319US,245,226,197,18,-1,MSP,SMF,1518,9,39,0,,0,0,0,18,0,0
